winrate,opening_kills,multikills,5v4,4v5,trades,grenades_damage,flash_assists
53.2,49.1,0.89,77.4,29.8,18.8,21.2,0.0
54.1,50.4,0.9,76.9,31.1,19.0,12.8,0.0
51.9,52.5,0.87,70.5,31.2,20.9,17.8,0.0
53.4,49.3,0.83,73.7,33.7,20.4,18.5,0.0
52.9,49.7,0.84,76.0,30.2,21.0,21.5,0.0
49.7,49.7,0.85,75.6,24.1,24.0,15.2,0.0
50.0,54.8,0.81,71.1,24.4,20.4,19.4,0.0
49.9,51.4,0.86,72.3,26.3,19.9,10.8,0.0
52.8,53.3,0.86,73.2,29.3,18.9,20.7,0.0
52.5,46.3,0.86,78.7,30.0,22.2,15.7,0.0
52.5,48.5,0.83,77.6,28.9,23.8,18.8,0.0
50.5,49.9,0.84,73.4,27.6,19.3,17.5,0.0
51.1,51.4,0.84,74.3,26.5,17.6,17.0,0.0
51.9,49.1,0.81,77.9,26.9,17.2,16.5,0.0
51.7,51.1,0.8,73.3,29.0,21.9,12.3,0.0
49.7,47.5,0.84,71.4,30.0,19.6,13.7,0.0
46.6,51.9,0.85,66.5,25.2,21.2,18.8,0.0
49.7,49.0,0.83,71.6,28.6,20.2,20.1,0.0
46.7,48.1,0.81,69.5,25.6,18.8,13.9,0.0
48.6,50.5,0.83,64.1,32.8,19.2,17.7,0.0
48.2,49.6,0.77,72.4,24.5,20.5,9.5,0.0
47.4,53.0,0.8,69.1,23.0,17.3,16.3,0.0
47.7,46.6,0.8,69.3,28.8,17.8,11.5,0.0
46.8,46.8,0.8,73.9,22.7,22.9,15.3,0.0
47.8,48.3,0.83,72.2,25.0,17.5,12.4,0.0
48.7,50.0,0.8,71.0,26.2,19.9,16.3,0.0
47.1,50.6,0.8,68.9,24.6,19.6,12.4,0.0
43.5,48.8,0.73,64.8,23.1,17.7,9.7,0.0
43.9,45.2,0.75,69.2,23.1,19.8,16.1,0.0
41.4,46.5,0.77,62.0,23.5,15.8,11.8,0.0
42.1,43.4,0.72,64.5,25.0,18.6,10.6,0.0
41.5,42.1,0.73,71.8,19.5,17.7,11.5,0.0
40.2,49.0,0.73,58.0,23.1,20.4,8.4,0.0
61.5,54.3,1.0,81.8,37.6,23.6,13.8,0.0
61.8,54.5,0.95,80.7,39.0,23.7,16.9,0.0
59.7,58.5,0.92,78.8,32.9,20.4,16.6,0.0
60.1,56.8,0.94,79.8,34.1,21.8,23.1,0.0
58.0,58.0,0.92,74.9,34.6,19.9,18.1,0.0
57.7,56.2,0.93,78.9,30.6,18.2,28.9,0.0
59.4,56.3,0.91,79.8,33.1,21.5,18.7,0.0
57.6,59.4,0.87,74.1,33.3,21.7,15.2,0.0
57.3,55.6,0.91,77.9,31.6,23.4,14.0,0.0
54.7,51.7,0.92,74.7,33.3,22.2,18.5,0.0
54.9,51.6,0.93,77.0,31.4,21.5,23.2,0.01
55.5,53.4,0.9,74.2,34.1,21.2,22.1,0.0
57.0,52.6,0.89,74.5,37.8,23.6,21.4,0.0
55.6,51.5,0.89,77.5,32.4,21.6,20.6,0.0
54.1,52.5,0.9,74.3,31.7,20.4,14.1,0.0
54.3,52.5,0.9,75.6,31.0,21.9,21.5,0.02
56.8,55.1,0.9,75.4,33.9,23.6,22.4,0.0
55.7,54.0,0.9,75.5,32.5,20.5,25.8,0.0
56.4,52.9,0.9,75.8,34.6,23.4,13.2,0.0
52.4,54.6,0.87,70.8,30.3,21.8,19.1,0.0
53.5,54.5,0.89,74.6,28.4,20.1,12.7,0.0
54.1,52.8,0.89,76.8,28.7,20.1,14.0,0.0
54.2,50.3,0.86,76.3,32.0,17.2,27.4,0.0
56.1,53.1,0.86,76.3,32.8,22.2,18.9,0.0
54.4,52.3,0.88,78.6,28.1,17.1,22.6,0.0
52.4,53.9,0.84,75.1,25.7,18.4,21.8,0.0
53.6,53.9,0.87,71.9,32.0,21.6,18.3,0.0
53.6,50.2,0.86,77.5,29.5,19.2,14.2,0.0
53.3,53.0,0.87,71.6,32.6,17.2,19.9,0.0
50.8,50.5,0.8,72.2,28.9,20.3,19.6,0.0
52.7,50.0,0.84,75.2,30.2,18.8,27.1,0.0
50.5,54.5,0.86,69.5,27.6,21.2,17.2,0.0
53.0,49.6,0.86,75.6,30.9,18.2,16.1,0.0
52.6,52.4,0.85,72.8,30.4,23.8,19.5,0.0
52.4,51.1,0.85,73.9,29.9,18.6,17.5,0.0
50.9,48.2,0.86,73.5,29.7,21.3,19.6,0.0
52.3,51.7,0.88,70.8,32.4,21.5,14.0,0.0
50.0,51.4,0.85,72.5,26.5,19.0,12.8,0.0
50.8,49.4,0.84,73.8,28.3,18.0,18.4,0.0
52.6,51.0,0.85,74.3,29.8,18.9,26.8,0.0
51.2,49.0,0.91,73.3,30.2,22.5,22.5,0.0
51.7,53.4,0.84,71.6,28.9,21.8,23.6,0.0
51.2,56.6,0.79,69.6,26.9,18.2,15.4,0.0
50.3,52.6,0.86,67.6,31.4,20.2,17.4,0.0
48.5,51.7,0.81,69.0,26.7,22.8,18.7,0.0
53.1,52.5,0.82,72.8,31.4,21.1,21.6,0.0
51.8,50.8,0.85,76.1,26.7,20.0,18.3,0.0
52.3,52.0,0.8,76.1,26.2,19.4,18.3,0.0
49.7,51.2,0.82,73.8,24.5,19.3,11.2,0.0
50.5,48.7,0.84,76.0,26.7,20.3,19.2,0.03
50.2,49.4,0.84,74.4,26.6,19.8,19.3,0.0
52.4,50.4,0.77,74.9,29.6,20.8,24.0,0.0
49.3,48.4,0.85,73.8,26.4,21.3,12.4,0.0
50.5,50.5,0.83,70.6,30.0,18.9,15.5,0.02
49.1,49.4,0.84,70.2,28.3,19.3,14.7,0.0
48.9,48.2,0.85,70.5,28.7,21.8,17.1,0.0
48.0,51.5,0.8,69.2,25.6,22.5,17.4,0.0
47.1,49.8,0.84,70.9,23.7,20.3,18.4,0.0
48.1,45.6,0.79,71.3,28.7,19.8,17.9,0.01
50.2,44.8,0.8,73.6,31.0,17.5,17.3,0.0
50.3,49.7,0.85,73.7,27.2,19.4,17.0,0.0
48.5,45.7,0.81,74.4,26.6,21.7,16.2,0.0
51.3,52.8,0.82,72.0,28.4,21.2,23.1,0.02
49.5,50.1,0.8,72.2,26.9,19.7,19.0,0.02
45.6,46.0,0.81,69.0,25.8,16.6,16.2,0.0
48.4,48.5,0.79,70.4,27.3,17.7,12.1,0.01
46.8,44.2,0.83,73.5,25.6,20.7,11.6,0.0
47.4,49.2,0.78,70.9,24.6,16.9,20.0,0.0
44.4,48.5,0.78,64.8,25.1,19.4,13.3,0.0
45.0,46.2,0.72,67.7,25.7,18.2,15.3,0.0
44.2,45.6,0.78,68.6,23.6,19.1,17.3,0.0
46.1,48.7,0.76,70.5,23.0,17.8,14.1,0.0
44.6,49.4,0.76,65.9,23.9,16.4,16.2,0.0
43.0,48.4,0.78,67.4,20.1,19.8,14.0,0.0
42.3,48.4,0.74,66.4,19.6,17.0,13.1,0.0
40.8,41.4,0.77,67.5,22.0,16.1,15.0,0.0
42.2,43.4,0.72,66.7,23.5,19.0,14.7,0.0
41.2,43.8,0.73,62.8,24.4,17.8,16.3,0.0
41.3,41.6,0.75,68.0,22.1,17.1,13.2,0.0
40.3,41.0,0.71,66.4,22.1,17.5,18.9,0.0
60.4,55.1,1.0,81.1,34.8,25.0,11.1,0.18
62.1,60.1,0.97,79.9,35.0,22.0,20.2,0.22
60.0,55.6,0.99,80.3,34.7,21.7,22.3,0.23
59.1,55.8,0.89,78.9,34.2,22.7,18.9,0.2
59.8,52.8,0.95,82.2,34.7,21.3,15.2,0.19
57.0,55.4,0.92,81.0,27.3,20.8,20.3,0.13
57.7,49.8,0.92,78.3,37.4,24.1,18.9,0.19
57.5,53.5,0.95,78.2,33.7,23.0,14.8,0.16
58.1,54.2,0.96,79.6,32.5,23.0,16.3,0.22
55.2,53.8,0.88,74.5,32.7,23.7,22.7,0.18
59.5,56.4,0.91,77.5,36.2,24.2,14.8,0.15
56.9,53.0,0.91,76.8,34.6,20.9,26.1,0.16
56.7,54.8,0.91,77.4,31.6,19.7,14.9,0.17
57.3,52.8,0.92,76.3,35.9,19.1,17.9,0.17
57.1,53.4,0.94,82.1,28.5,20.8,14.1,0.18
57.3,53.5,0.9,78.4,32.9,24.6,12.1,0.21
57.8,51.9,0.95,77.3,36.6,20.4,19.4,0.2
59.0,56.0,0.87,76.4,36.4,20.4,18.1,0.21
56.3,54.7,0.92,76.3,32.1,20.2,17.4,0.14
57.6,55.2,0.88,78.2,32.5,20.2,16.2,0.15
56.6,51.6,0.91,78.7,32.6,22.9,26.8,0.16
56.1,55.4,0.88,75.4,32.2,21.3,22.1,0.23
54.6,50.3,0.91,77.3,31.5,21.9,15.5,0.2
54.6,52.3,0.87,78.1,28.8,21.2,17.9,0.18
55.5,52.1,0.88,76.3,32.9,21.3,19.4,0.2
52.5,52.0,0.89,72.6,31.2,23.1,19.8,0.18
54.0,56.1,0.87,75.1,27.4,20.1,15.0,0.15
53.5,56.0,0.93,72.8,29.0,20.2,17.9,0.1
55.3,52.6,0.88,78.2,29.7,22.7,16.5,0.16
51.8,52.4,0.87,74.2,27.3,21.8,20.2,0.12
52.3,53.8,0.85,75.0,25.8,19.6,13.7,0.18
52.1,53.7,0.87,75.8,24.7,19.4,17.9,0.16
53.7,53.2,0.83,72.8,32.0,19.7,19.3,0.26
53.8,54.4,0.84,74.9,28.7,20.8,19.0,0.25
53.4,51.4,0.86,74.5,31.2,18.7,16.7,0.16
52.3,53.0,0.85,75.6,26.1,19.7,14.7,0.18
49.2,53.0,0.91,66.5,29.8,17.5,15.9,0.11
53.8,56.3,0.84,73.0,29.0,22.7,23.8,0.26
52.6,51.1,0.85,74.1,30.1,18.9,16.1,0.12
52.6,49.3,0.83,76.4,29.2,18.3,18.2,0.21
52.7,50.5,0.83,75.4,29.7,21.9,14.6,0.21
52.3,51.3,0.88,71.6,32.0,19.0,14.8,0.13
51.3,50.3,0.85,72.0,30.2,19.6,26.0,0.15
49.4,49.8,0.83,68.5,30.6,20.3,18.9,0.21
51.7,51.3,0.82,71.0,31.4,18.3,17.9,0.12
51.5,52.0,0.85,71.8,29.4,18.3,20.0,0.15
50.2,50.9,0.88,71.6,28.0,20.9,15.1,0.14
48.6,50.4,0.79,70.2,26.3,19.8,21.1,0.17
50.9,50.7,0.84,70.6,30.5,21.9,21.8,0.17
50.7,47.0,0.8,73.0,30.8,22.0,18.4,0.15
52.7,48.1,0.84,75.7,31.2,18.3,18.0,0.12
50.2,49.5,0.87,72.7,27.9,18.1,20.8,0.2
50.7,50.1,0.81,72.3,29.1,21.0,22.2,0.14
49.3,50.0,0.83,73.8,25.0,20.4,16.8,0.13
52.3,47.2,0.84,75.9,30.9,19.4,21.6,0.12
49.3,49.0,0.83,72.6,26.8,21.5,16.7,0.19
48.7,47.6,0.84,73.5,26.3,21.1,16.4,0.16
45.4,49.2,0.83,69.1,22.3,17.6,21.2,0.11
48.0,50.0,0.81,70.9,25.2,19.6,26.2,0.28
46.9,44.5,0.86,68.7,29.5,21.0,23.9,0.18
49.6,49.3,0.81,71.3,28.6,16.8,21.7,0.13
45.8,45.6,0.84,70.5,24.9,19.3,10.4,0.09
48.7,49.3,0.79,72.6,25.2,19.4,20.3,0.23
50.6,48.1,0.87,73.7,29.0,19.8,18.3,0.15
47.4,48.1,0.83,68.5,27.8,19.0,18.1,0.1
50.3,48.8,0.8,73.9,27.8,19.9,23.0,0.2
46.8,49.4,0.79,67.2,26.9,19.8,14.8,0.18
44.2,44.7,0.82,67.7,25.1,21.3,10.3,0.11
46.2,48.6,0.81,61.4,31.6,18.7,16.8,0.21
47.1,44.0,0.79,73.9,25.8,17.3,17.4,0.15
47.8,49.9,0.77,70.2,25.7,19.5,15.1,0.18
43.0,43.0,0.79,65.5,25.9,19.4,12.5,0.12
45.1,48.8,0.78,67.2,23.9,18.6,17.3,0.19
46.3,48.4,0.8,68.3,25.9,17.6,15.6,0.12
45.0,44.5,0.76,72.3,23.1,19.2,9.4,0.2
44.0,44.9,0.76,64.6,26.8,21.1,18.6,0.18
45.1,45.2,0.69,71.4,23.5,18.3,17.1,0.15
37.9,44.3,0.77,65.0,16.1,17.1,10.1,0.08
39.0,43.9,0.72,65.7,18.1,20.2,16.4,0.12
64.8,55.4,1.01,83.4,41.8,25.0,12.8,0.25
59.0,55.4,0.98,78.9,34.4,22.5,15.7,0.14
59.5,57.8,0.96,79.5,32.2,21.3,22.4,0.26
59.1,53.5,0.96,78.6,36.7,24.1,22.6,0.05
56.7,54.7,0.86,75.5,34.1,19.4,14.0,0.24
55.1,51.2,0.92,75.7,33.4,21.2,24.4,0.14
54.7,54.2,0.88,75.2,30.2,20.0,15.5,0.22
54.8,54.5,0.88,73.2,32.9,21.7,25.2,0.32
54.9,53.1,0.88,73.8,33.5,22.6,18.5,0.25
54.4,51.0,0.9,75.6,32.3,21.9,21.7,0.18
55.2,50.6,0.87,78.2,31.7,22.3,16.0,0.16
54.1,50.4,0.87,74.5,33.3,21.8,18.2,0.22
52.7,52.7,0.85,72.5,30.5,21.6,21.3,0.2
54.2,49.7,0.85,76.4,32.2,20.1,25.4,0.18
51.6,52.8,0.86,75.5,24.7,22.2,15.4,0.16
51.2,52.8,0.85,68.1,32.5,21.8,20.1,0.22
52.0,51.4,0.87,71.0,31.9,19.9,21.2,0.18
51.9,49.7,0.88,74.1,29.9,18.4,16.4,0.14
51.1,52.1,0.82,69.2,31.4,19.4,14.9,0.16
50.8,50.3,0.84,68.9,32.4,21.1,13.0,0.23
50.9,46.9,0.82,75.6,28.9,20.0,19.9,0.13
50.6,48.3,0.84,69.4,32.9,20.2,13.4,0.18
50.4,49.0,0.84,73.4,28.3,19.4,18.1,0.08
49.3,49.8,0.84,74.3,24.3,20.1,22.2,0.19
49.0,49.8,0.84,72.5,25.7,19.9,15.0,0.18
50.7,49.2,0.82,77.4,25.1,20.3,15.6,0.11
49.3,49.7,0.81,74.5,24.5,19.9,19.3,0.21
48.9,48.6,0.8,71.9,27.2,19.6,16.3,0.14
48.7,47.9,0.81,73.2,26.2,19.3,11.2,0.17
47.1,47.9,0.84,68.9,27.0,17.8,15.1,0.09
47.7,46.9,0.77,69.1,28.9,21.0,18.0,0.19
45.1,46.3,0.8,67.2,25.7,19.2,14.4,0.13
44.1,43.8,0.78,70.4,23.6,21.1,17.6,0.11
59.4,55.3,0.93,75.9,39.0,24.6,12.9,0.24
58.5,52.0,0.99,79.1,36.2,22.1,24.3,0.15
57.8,56.0,0.97,77.7,32.5,23.2,18.4,0.24
60.7,54.2,0.97,83.7,33.5,22.0,14.9,0.25
58.8,56.2,0.98,74.2,38.8,23.3,16.3,0.1
57.8,55.8,0.95,79.1,30.8,22.3,11.0,0.22
57.7,55.4,0.97,77.1,33.6,20.6,15.5,0.19
57.7,53.9,0.91,76.7,35.6,22.6,21.7,0.14
58.4,55.8,0.93,76.4,35.6,22.2,20.1,0.19
57.3,52.6,0.9,77.0,35.3,21.6,17.2,0.14
54.3,52.4,0.84,77.1,29.0,20.1,17.2,0.17
54.8,47.2,0.93,78.7,33.5,22.8,14.3,0.25
54.1,55.7,0.88,75.1,27.8,21.5,23.9,0.2
54.7,48.3,0.91,78.3,32.7,18.1,15.5,0.16
52.6,50.6,0.9,74.9,29.8,22.7,12.3,0.19
54.0,51.0,0.85,78.2,29.0,20.5,24.2,0.31
54.5,53.0,0.84,75.2,31.2,19.6,19.4,0.16
52.8,54.8,0.87,73.2,28.0,20.4,19.9,0.25
53.5,52.7,0.85,77.0,27.2,18.3,23.2,0.18
55.3,51.2,0.86,75.1,34.4,21.3,16.1,0.24
53.7,50.0,0.9,75.6,31.6,21.1,22.2,0.17
54.3,51.7,0.89,76.1,31.0,21.7,30.5,0.23
52.0,52.7,0.84,73.3,28.3,20.9,18.1,0.19
55.3,56.5,0.87,73.0,32.2,18.8,15.4,0.18
51.9,53.5,0.84,71.8,29.0,22.3,20.1,0.18
52.3,53.2,0.86,73.0,28.7,17.4,20.0,0.16
52.5,52.8,0.87,73.4,29.3,21.8,11.5,0.13
51.0,50.4,0.89,70.1,31.7,19.3,18.4,0.13
52.6,52.2,0.89,72.0,31.5,20.5,17.7,0.11
51.9,51.2,0.85,75.0,27.9,19.9,14.7,0.15
51.5,50.0,0.81,71.0,32.0,21.8,12.3,0.21
49.4,50.5,0.81,67.3,31.1,20.0,17.3,0.18
51.5,50.2,0.86,75.2,27.6,21.4,17.7,0.12
52.2,48.8,0.82,75.6,30.0,18.4,14.8,0.27
50.4,49.8,0.83,72.6,28.2,20.0,16.2,0.2
52.1,48.4,0.86,72.0,33.5,20.3,14.9,0.15
49.9,50.4,0.82,70.2,29.0,20.3,12.1,0.13
51.4,49.3,0.83,75.3,28.3,20.0,18.2,0.14
50.0,51.3,0.82,72.6,25.8,20.1,12.8,0.21
50.0,49.7,0.83,72.1,28.2,20.2,10.2,0.13
47.7,51.6,0.84,66.1,28.0,19.3,14.7,0.18
49.8,46.0,0.83,74.6,28.6,20.9,17.5,0.09
47.7,47.6,0.81,72.3,25.5,19.9,14.1,0.22
47.1,53.4,0.79,69.6,21.7,18.3,16.1,0.17
46.6,46.3,0.81,66.7,29.2,20.9,12.0,0.19
44.1,48.2,0.79,65.2,24.6,19.3,11.9,0.15
46.0,46.5,0.81,72.4,23.1,19.4,12.2,0.24
47.0,47.8,0.78,71.7,24.4,19.5,13.1,0.2
48.1,47.1,0.82,73.8,25.3,19.2,14.6,0.08
44.4,48.4,0.79,69.9,20.2,19.0,20.3,0.2
46.6,47.7,0.76,67.6,27.6,17.8,11.2,0.07
46.8,49.5,0.75,68.5,25.6,17.9,13.8,0.19
44.3,47.6,0.82,68.4,22.4,18.5,16.2,0.11
42.4,46.3,0.73,69.6,19.0,17.2,10.5,0.24
64.6,54.2,0.96,85.1,40.1,23.5,25.3,0.22
66.5,56.2,1.0,83.7,44.2,20.5,20.3,0.27
61.3,58.0,0.96,84.0,30.1,20.8,18.7,0.13
58.4,58.0,0.92,76.9,33.1,22.4,18.4,0.21
59.7,53.5,0.9,81.5,34.7,21.8,33.0,0.22
58.4,54.7,0.97,79.6,32.9,22.0,26.3,0.24
57.7,50.7,0.92,81.2,33.5,22.3,22.5,0.18
60.3,54.4,0.93,78.8,38.0,22.8,15.4,0.27
56.6,52.1,0.91,80.2,30.8,20.4,18.2,0.19
57.6,56.4,0.9,74.9,35.3,21.5,21.0,0.15
56.7,54.9,0.9,74.6,34.7,21.4,17.1,0.19
56.0,55.4,0.89,77.2,29.8,20.1,21.5,0.17
56.3,54.7,0.94,77.3,31.0,22.8,21.6,0.17
54.8,53.8,0.94,69.1,38.5,21.4,19.8,0.11
56.5,55.0,0.88,77.4,31.0,22.2,15.7,0.17
57.7,54.4,0.93,80.7,30.3,21.6,11.5,0.2
55.4,52.4,0.91,75.3,33.3,19.4,17.2,0.18
55.8,55.4,0.88,75.6,31.2,24.2,22.2,0.26
55.3,48.4,0.89,76.3,35.5,19.6,14.5,0.18
55.3,51.2,0.92,75.6,33.9,22.5,12.7,0.14
55.8,55.5,0.88,75.4,31.3,23.8,21.8,0.26
54.4,53.4,0.86,74.0,32.1,19.0,28.6,0.16
53.0,57.4,0.87,72.3,26.8,23.0,15.9,0.18
55.1,55.8,0.88,72.4,32.9,20.8,14.6,0.36
53.9,50.1,0.94,75.8,32.0,22.6,19.0,0.14
55.9,52.3,0.88,80.9,28.6,21.3,12.1,0.22
54.3,54.6,0.88,73.4,31.3,19.8,18.5,0.16
55.1,52.2,0.88,73.6,34.6,20.2,17.8,0.15
53.5,55.7,0.86,71.7,30.7,21.1,17.7,0.19
54.0,55.4,0.91,79.5,21.9,21.5,10.0,0.16
51.6,52.6,0.87,71.3,29.7,20.4,16.7,0.32
52.3,49.0,0.85,76.4,29.1,23.2,15.9,0.19
52.8,50.6,0.85,76.7,28.3,20.9,17.8,0.15
53.2,52.1,0.88,75.8,28.7,19.6,16.9,0.15
51.0,50.4,0.85,75.7,25.8,18.9,13.9,0.13
53.3,53.7,0.89,73.0,30.5,21.2,15.3,0.13
53.2,52.1,0.89,76.8,27.4,20.5,14.1,0.22
50.1,51.4,0.89,72.9,26.0,21.1,17.9,0.12
52.2,49.1,0.87,70.7,34.3,21.1,18.4,0.21
52.8,47.7,0.87,76.7,31.2,20.3,17.1,0.12
50.0,50.3,0.85,72.0,27.7,24.4,18.5,0.14
51.7,49.9,0.86,71.8,31.1,20.7,18.5,0.2
51.9,48.7,0.82,73.6,31.5,20.8,17.0,0.16
51.2,50.3,0.79,77.8,24.3,19.2,22.6,0.24
52.2,52.1,0.82,70.9,31.9,21.6,15.9,0.15
53.5,48.5,0.82,72.8,35.3,23.4,15.4,0.27
52.1,49.2,0.79,75.2,29.6,19.8,15.8,0.25
52.8,53.4,0.81,73.9,28.7,21.9,16.3,0.22
49.1,47.9,0.86,73.4,26.6,22.4,29.3,0.15
51.7,53.0,0.86,74.3,26.3,19.1,29.5,0.21
52.5,50.7,0.82,75.0,29.4,18.7,18.3,0.17
51.2,48.6,0.86,73.1,30.6,19.6,17.9,0.23
52.0,49.9,0.86,72.1,31.9,20.3,24.3,0.27
50.4,49.4,0.83,75.2,26.2,20.3,23.7,0.2
48.5,50.8,0.88,71.0,25.3,20.0,15.6,0.12
48.8,50.3,0.81,68.3,29.2,18.1,18.3,0.18
52.1,52.7,0.83,71.3,30.9,19.0,18.9,0.2
50.6,49.4,0.8,73.1,28.2,22.2,20.6,0.12
50.1,51.6,0.81,72.9,25.7,18.2,15.7,0.18
50.0,48.1,0.84,77.6,24.4,19.7,20.1,0.23
48.2,48.6,0.81,71.1,26.6,18.7,16.0,0.21
47.9,48.2,0.8,69.7,27.7,20.1,21.3,0.22
49.5,50.8,0.84,78.1,20.0,19.6,13.8,0.19
49.0,47.9,0.84,70.8,29.0,18.8,16.4,0.16
47.2,46.4,0.8,69.2,28.3,21.3,28.4,0.2
51.3,50.8,0.77,74.7,27.3,18.9,12.8,0.22
48.4,49.7,0.81,71.2,25.6,17.8,18.3,0.13
50.8,48.3,0.84,75.7,27.6,19.2,22.9,0.17
47.8,43.4,0.8,67.9,32.3,20.5,13.4,0.1
48.4,42.4,0.8,76.1,28.0,20.3,22.2,0.19
46.0,48.9,0.83,64.6,28.3,18.5,13.4,0.22
48.0,47.2,0.84,72.9,25.6,20.5,9.3,0.15
47.2,47.3,0.79,69.8,27.0,18.4,14.4,0.2
48.0,50.8,0.8,75.3,19.9,21.0,12.1,0.16
44.5,52.2,0.78,67.3,19.7,18.6,14.1,0.18
43.4,48.7,0.76,64.9,22.9,19.5,11.5,0.23
45.1,48.0,0.75,66.3,25.8,18.1,18.0,0.25
42.4,47.6,0.79,64.4,22.4,18.6,11.2,0.16
46.0,46.1,0.76,71.4,24.0,19.8,22.4,0.13
41.3,42.6,0.77,68.9,20.8,16.6,6.7,0.15
38.7,42.3,0.78,65.8,18.9,17.2,15.9,0.11
40.2,41.6,0.69,63.4,23.6,16.4,12.1,0.07
62.9,60.5,1.01,82.1,33.5,23.1,25.7,0.22
59.9,54.2,0.96,82.0,33.8,23.9,15.2,0.13
58.3,57.3,0.92,80.2,29.2,23.2,16.4,0.14
59.8,53.9,0.98,81.5,34.5,23.4,19.4,0.11
60.7,55.0,0.96,82.7,33.7,21.1,21.6,0.23
58.8,59.7,0.91,75.9,33.5,23.3,15.3,0.29
60.5,56.9,0.93,78.7,36.4,24.4,24.2,0.21
